date,regime,freeze,exposure_us,exposure_kr,trading_bucket,score_raw,score_s,spx_dist,vix,hy,move,stab_n,ladder_days,kr_below_ma,fx_warn,source
2026-09-11,uptrend,0,65.0,65.0,20.0,0,0.0,6.9,15.84,1.51,82.2,3,0,0,0,live
2026-09-14,uptrend,0,65.0,65.0,20.0,0,0.0,6.32,17.1,1.5,83.9,3,0,0,0,live
2026-09-15,uptrend,0,65.0,65.0,20.0,0,0.0,5.78,17.2,1.47,83.7,3,0,0,0,live
2026-09-16,uptrend,0,65.0,65.0,20.0,0,0.0,5.25,17.71,1.48,80.7,3,0,0,0,live
2026-09-17,uptrend,0,65.0,65.0,20.0,0,0.0,6.39,15.44,1.43,76.2,3,0,0,0,live
2026-09-18,uptrend,0,65.0,65.0,20.0,0,0.0,6.51,14.81,1.44,80.6,3,0,0,0,live
2026-09-21,uptrend,0,65.0,65.0,20.0,0,0.0,8.03,14.87,1.4,81.2,3,0,0,0,live
2026-09-22,uptrend,0,65.0,65.0,20.0,0,0.0,7.96,14.21,1.42,78.6,3,0,0,0,live
